start_time,away_team,away_team_score,home_team,home_team_score
2004-12-03 01:00:00+00:00,HOUSTON ROCKETS,106,DALLAS MAVERICKS,113
2004-12-03 03:30:00+00:00,CLEVELAND CAVALIERS,92,DENVER NUGGETS,73
2004-12-04 00:30:00+00:00,WASHINGTON WIZARDS,114,ATLANTA HAWKS,90
2004-12-04 00:30:00+00:00,TORONTO RAPTORS,89,BOSTON CELTICS,91
2004-12-04 00:30:00+00:00,ORLANDO MAGIC,104,NEW YORK KNICKS,98
2004-12-04 01:00:00+00:00,PHILADELPHIA 76ERS,86,MEMPHIS GRIZZLIES,94
2004-12-04 01:00:00+00:00,DETROIT PISTONS,77,SAN ANTONIO SPURS,80
2004-12-04 01:30:00+00:00,MIAMI HEAT,105,CHICAGO BULLS,81
2004-12-04 02:00:00+00:00,MINNESOTA TIMBERWOLVES,97,PHOENIX SUNS,93
2004-12-04 03:30:00+00:00,GOLDEN STATE WARRIORS,88,LOS ANGELES LAKERS,97
2004-12-04 03:30:00+00:00,INDIANA PACERS,87,SACRAMENTO KINGS,113
2004-12-05 00:00:00+00:00,NEW YORK KNICKS,101,CHARLOTTE BOBCATS,107
2004-12-05 00:00:00+00:00,MEMPHIS GRIZZLIES,91,ORLANDO MAGIC,96
2004-12-05 00:30:00+00:00,TORONTO RAPTORS,97,CLEVELAND CAVALIERS,105
2004-12-05 00:30:00+00:00,ATLANTA HAWKS,88,NEW JERSEY NETS,109
2004-12-05 01:00:00+00:00,DETROIT PISTONS,92,NEW ORLEANS HORNETS,69
2004-12-05 01:00:00+00:00,CHICAGO BULLS,88,WASHINGTON WIZARDS,95
2004-12-05 01:30:00+00:00,UTAH JAZZ,86,DALLAS MAVERICKS,109
2004-12-05 01:30:00+00:00,PHILADELPHIA 76ERS,76,HOUSTON ROCKETS,77
2004-12-05 01:30:00+00:00,SAN ANTONIO SPURS,104,MILWAUKEE BUCKS,83
2004-12-05 02:00:00+00:00,MIAMI HEAT,95,DENVER NUGGETS,104
2004-12-05 03:30:00+00:00,INDIANA PACERS,96,GOLDEN STATE WARRIORS,104
2004-12-05 03:30:00+00:00,MINNESOTA TIMBERWOLVES,107,LOS ANGELES CLIPPERS,100
